lat,lon,densidade,densidade_baseline
-24.008,-46.826,1262.629595487606,1618.809275424777
-24.00363087248322,-46.826,1316.4075206142993,1631.163849029335
-23.999261744966443,-46.826,1371.8793067066106,1643.4710954925977
-23.994892617449665,-46.826,1429.0672127492826,1655.7285290291727
-23.990523489932887,-46.826,1487.9921410786117,1667.9336581108305
-23.986154362416105,-46.826,1548.673541806785,1680.0839862848488
-23.981785234899327,-46.826,1611.1293163684136,1692.177013000508
-23.97741610738255,-46.826,1675.375720409882,1704.210234443491
-23.97304697986577,-46.826,1741.4272662515714,1716.1811443776764
-23.968677852348996,-46.826,1809.2966251661508,1728.0872349940385
-23.96430872483221,-46.826,1878.994529725632,1739.9259977662857
-23.95993959731544,-46.826,1950.5296764805223,1751.6949243125555
-23.95557046979866,-46.826,2023.9086292438076,1763.3915072634775
-23.95120134228188,-46.826,2099.1357232627192,1775.0132411351096
-23.9468322147651,-46.826,2176.212970567708,1786.5576232074477
-23.94246308724832,-46.826,2255.1399667985143,1798.02215440726
-23.938093959731543,-46.826,2335.913799811626,1809.4043401953388
-23.933724832214764,-46.826,2418.528960381685,1820.7016914573853
-23.929355704697983,-46.826,2502.977255313913,1831.911725398351
-23.92498657718121,-46.826,2589.2477232889178,1843.0319664395797
-23.92061744966443,-46.826,2677.3265537654083,1854.059947118559
-23.91624832214765,-46.826,2767.197009268283,1864.9932089905283
-23.91187919463087,-46.826,2858.83935139087,1875.8293035316815
-23.90751006711409,-46.826,2952.23077084169,1886.5657930435707
-23.903140939597314,-46.826,3047.3453218630398,1897.2002515579711
-23.898771812080536,-46.826,3144.153861348941,1907.7302657420842
-23.89440268456376,-46.826,3242.623992985501,1918.1534358032875
-23.89003355704698,-46.826,3342.720016732639,1928.4673763932615
-23.8856644295302,-46.826,3444.40288396064,1938.6697175107406
-23.88129530201342,-46.826,3547.630158547727,1948.7581054026296
-23.87692617449664,-46.826,3652.3559842364216,1958.73020346296
-23.872557046979864,-46.826,3758.5310585384073,1968.5836931290614
-23.86818791946309,-46.826,3866.102613464144,1978.3162747747228
-23.863818791946308,-46.826,3975.014403343652,1987.925668599635
-23.85944966442953,-46.826,4085.2066999909152,1997.4096155147292
-23.85508053691275,-46.826,4196.616295448683,2006.765878023023
-23.850711409395974,-46.826,4309.176512536151,2015.9922410953204
-23.846342281879195,-46.826,4422.817223403152,2025.0865130404097
-23.84197315436241,-46.826,4537.464876277926,2034.046526369278
-23.83760402684564,-46.826,4653.042530574036,2042.870138652682
-23.833234899328858,-46.826,4769.469900503867,2051.5552333721125
-23.82886577181208,-46.826,4886.663407321666,2060.0997207628434
-23.8244966442953,-46.826,5004.536240298652,2068.5015386495015
-23.820127516778523,-46.826,5122.998426508189,2076.7586532730415
-23.815758389261745,-46.826,5241.9569094742765,2084.8690601089415
-23.811389261744967,-46.826,5361.315636711198,2092.8307846761404
-23.807020134228186,-46.826,5480.975656157828,2100.641883336214
-23.802651006711407,-46.826,5600.83522147926,2108.300444082318
-23.79828187919463,-46.826,5720.78990618677,2115.8045873175683
-23.79391275167785,-46.826,5840.7327264931455,2123.15246662225
-23.789543624161077,-46.826,5960.554272797255,2130.342269509541
-23.78517449664429,-46.826,6080.142849659598,2137.3722181693283
-23.78080536912752,-46.826,6199.384624104181,2144.2405701994976
-23.77643624161074,-46.826,6318.163782050801,2150.94561932462
-23.77206711409396,-46.826,6436.362692655663,2157.4856961012574
-23.76769798657718,-46.826,6553.862080305562,2163.8591686097084
-23.7633288590604,-46.826,6670.541203987453,2170.0644431317337
-23.758959731543623,-46.826,6786.278043720322,2176.0999648138704
-23.754590604026845,-46.826,6900.949493714668,2181.9642183159003
-23.750221476510067,-46.826,7014.431561892875,2187.655728444161
-23.74585234899329,-46.826,7126.599575379006,2193.173060769325
-23.74148322147651,-46.826,7237.328391540235,2198.5148222282373
-23.73711409395973,-46.826,7346.492614136877,2203.679661709472
-23.73274496644295,-46.826,7453.966814112802,2208.6662706223137
-23.728375838926173,-46.826,7559.625754536219,2213.4733834487984
-23.724006711409395,-46.826,7663.344619178486,2218.0997782784043
-23.719637583892617,-46.826,7764.999244196323,2222.5442773252776
-23.71526845637584,-46.826,7864.466352365731,2226.805747427432
-23.71089932885906,-46.826,7961.623789296798,2230.8831005278585
