NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO;TURNO;FIM_DE_SEMANA;VIA_PUBLICA;CRIME_DOLOSO
AA5846;2026-01-01;18:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5471937;-46.6396488;REPÚBLICA;Rua Coronel Xavier de Toledo;03º D.P. CAMPOS ELISEOS;DEL.SEC.1º CENTRO;T;S;1.0;2026.0;noite;0;1;0
AB3101;2026-01-01;02:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.59415699;-46.64359815;VILA MARIANA;RUA NAPOLEAO DE BARROS;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;C;N;1.0;2026.0;madrugada;0;0;1
AB7842;2026-01-03;03:50:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0;madrugada;1;0;0
AB8622;2026-01-03;05:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.46831091;-46.63327121;MANDAQUI;RUA JOAO DE MOTA PREGO;38º D.P. VILA AMALIA;DEL.SEC.4º NORTE;T;S;1.0;2026.0;madrugada;1;1;0
AC2447;2026-01-03;14:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.48159804;-46.58082875;VILA MEDEIROS;AVENIDA JARDIM JAPAO;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;T;S;1.0;2026.0;tarde;1;1;0
AC2447;2026-01-03;14:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.48159804;-46.58082875;VILA MEDEIROS;AVENIDA JARDIM JAPAO;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;T;S;1.0;2026.0;tarde;1;1;0
AC6590;2026-01-03;23:47:00;HOMICIDIO DOLOSO;FeminicIdio;;Via Pública;-23.56218809;-46.63004997;LIBERDADE;RUA DOS TAPES;06º D.P. CAMBUCI;DEL.SEC.1º CENTRO;C;N;1.0;2026.0;noite;1;1;1
AC7501;2026-01-04;03:05:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.4524157;-46.673744;JARDIM PERI;Avenida Inajar de Souza;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;C;N;1.0;2026.0;madrugada;1;1;1
AC7828;2026-01-04;09:10:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.68603007;-46.79689175;CAPAO REDONDO;RUA LEONIDAS BUSI;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0;manha;1;1;1
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0;manha;1;0;0
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0;manha;1;0;0
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0;manha;1;0;0
AD0183;2026-01-04;13:30:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Saúde;-23.47515427;-46.69850326;FREGUESIA DO O;PRAÇA LUIZA MAHIN;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;T;N;1.0;2026.0;tarde;1;0;0
AD0783;2026-01-04;15:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.598174;-46.735971;VILA SONIA;RUA DIAS VIEIRA;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;N;1.0;2026.0;tarde;1;1;0
AD5857;2026-01-05;08:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0;manha;0;0;0
AE5195;2026-01-04;09:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.56634905;-46.76500007;RIO PEQUENO;RUA AMARANTE DO MARANHAO;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;N;1.0;2026.0;manha;1;1;0
AE6586;2026-01-04;;HOMICIDIO DOLOSO;HomicIdio (art. 121);A noite;Via Pública;-23.4681559;-46.5773585;JARDIM MODELO;Travessa TomAs Palma;73º D.P. JACANA;DEL.SEC.4º NORTE;C;N;1.0;2026.0;desconhecido;1;1;1
AE7944;2026-01-05;14:05:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.4739176;-46.6792949;JARDIM ALVORADA (ZONA NORTE);Rua Reverendo Carlos Wesly;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;C;S;1.0;2026.0;tarde;0;1;1
AF8300;2026-01-06;13:30:02;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Restaurante e Afins;-23.515423;-46.5660576;PARQUE NOVO MUNDO;Alameda Subtenente Francisco Hierro;90º D.P. PQ. NOVO MUNDO;DEL.SEC.4º NORTE;C;S;1.0;2026.0;tarde;0;0;1
AG5165;2026-01-06;21:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;N;1.0;2026.0;noite;0;0;0
AG5165;2026-01-06;21:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;N;1.0;2026.0;noite;0;0;1
AG5165;2026-01-06;21:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;N;1.0;2026.0;noite;0;0;0
AG5729;2026-01-07;00:01:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5330792;-46.4902861;VILA RÉ;Rua Carlos Maria Steimberg;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;T;S;1.0;2026.0;madrugada;0;1;0
AG6891;2026-01-01;13:16:00;HOMICIDIO DOLOSO;Morte suspeita;;Via Pública;-23.4995511;-46.624814;SANTANA;Avenida Cruzeiro do Sul;09º D.P. - CARANDIRU;DEL.SEC.4º NORTE;C;N;1.0;2026.0;tarde;0;1;1
AH4602;2026-01-07;12:49:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0;tarde;0;0;0
AI0124;2026-01-07;20:01:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;93º D.P. JAGUARE;DEL.SEC.3º OESTE;C;N;1.0;2026.0;noite;0;0;1
AI1109;2026-01-07;00:45:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.5176647;-46.5623488;PARQUE NOVO MUNDO;Rua Francisco Fanganielo;90º D.P. PQ. NOVO MUNDO;DEL.SEC.4º NORTE;C;N;1.0;2026.0;madrugada;0;0;1
AI1137;2026-01-07;21:10:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;S;1.0;2026.0;noite;0;0;0
AI2596;2026-01-07;20:00:00;LATROCINIO;Roubo (art. 157);;Via Pública;-23.6087551;-46.3987149;CIDADE TIRADENTES;RUA FRANCISCO SARACINI;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;C;N;1.0;2026.0;noite;0;1;1
AI6553;2026-01-08;08:06:00;LESAO CORPORAL SEGUIDA DE MORTE;ComunicaçAo de Obito;;Via Pública;-23.76681019;-46.66210549;GRAJAU;RUA NEFERTITI;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0;manha;0;1;0
AJ3244;2026-01-08;15:25:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;74º D.P. PARADA TAIPAS;DEL.SEC.4º NORTE;T;N;1.0;2026.0;tarde;0;0;0
AJ8330;2026-01-09;08:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;48º D.P. CIDADE DUTRA;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0;manha;0;0;0
AL0927;2026-01-10;00:05:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;RepartiçAo Pública;-23.82604747;-46.73562427;PARELHEIROS;RUA HUMBERTO RAVELLO;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0;madrugada;1;0;1
AL4161;2026-01-10;11:50:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Entidade Assistencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;49º D.P. SAO MATEUS;DEL.SEC.8º SAO MATEUS;T;N;1.0;2026.0;manha;1;0;0
