NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO
CD3732;2026-02-10;04:35:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;62º D.P. ERMELINO MATARAZZO;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CD5267;2026-02-09;08:00:33;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;N;2.0;2026.0
CE1031;2026-02-10;14:40:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;97º D.P. AMERICANOPOLIS;DEL.SEC.2º SUL;T;S;2.0;2026.0
CV8061;2026-02-22;22:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5105828;-46.3829433;JARDIM NÉLIA;Rua Vicente de Oliveira Leme;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;C;N;2.0;2026.0
CG2936;2026-02-11;19:53:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Comércio e Serviços;-23.539177;-46.4360641;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;Rua EugEnio Albini;103º D.P. COHABII/ITAQU.;DEL.SEC.7º ITAQUERA;T;S;2.0;2026.0
CG4347;2026-02-11;21:40:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;C;S;2.0;2026.0
CG4522;2026-02-12;00:49:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5226123;-46.5132562;VILA RÉ;Rua JoAo Batista Monte;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CG4563;2026-02-12;03:15:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.54737638;-46.63196219;SE;PRAÇA FERNANDO COSTA;01º D.P. SE;DEL.SEC.1º CENTRO;C;S;2.0;2026.0
BS9336;2026-02-03;03:59:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;80º D.P. VILA JOANIZA;DEL.SEC.6º SANTO AMARO;C;S;2.0;2026.0
CH2331;2026-02-12;08:50:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Unidade Rural;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CI2524;2026-02-13;01:10:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5663725;-46.6841257;PINHEIROS;Rua dos Pinheiros;14º D.P. PINHEIROS;DEL.SEC.3º OESTE;T;N;2.0;2026.0
CI5946;2026-02-13;09:30:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.5560894;-46.6381693;SÉ;Viaduto Jaceguai;05º D.P. ACLIMACAO;DEL.SEC.1º CENTRO;T;S;2.0;2026.0
CJ9338;2026-02-13;23:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;S;2.0;2026.0
CJ9601;2026-02-13;23:40:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.8790221;-46.6426257;CIDADE LUZ;Rua Tito Pedro Mascelani;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;T;N;2.0;2026.0
CJ9646;2026-02-14;03:35:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5492623;-46.499576;ARTUR ALVIM;RUA ARLINDO MARQUES JUNIOR;65º D.P. ARTUR ALVIM;DEL.SEC.7º ITAQUERA;C;N;2.0;2026.0
CK0826;2026-02-14;06:35:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;T;S;2.0;2026.0
CK9298;2026-02-14;;HOMICIDIO DOLOSO;HomicIdio (art. 121);A noite;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CK9328;2026-02-14;22:30:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.58926687;-46.78396355;RAPOSO TAVARES;RUA AUGUSTO BENASSI;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;T;S;2.0;2026.0
CL0055;2026-02-14;23:35:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CL0218;2026-02-15;00:55:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;T;S;2.0;2026.0
CL0663;2026-02-15;05:10:58;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;C;N;2.0;2026.0
CL4414;2026-02-15;05:00:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.458494;-46.6629807;JARDIM SANTA CRUZ;Avenida Masao Watanabe;38º D.P. VILA AMALIA;DEL.SEC.4º NORTE;T;N;2.0;2026.0
CL4728;2026-02-15;03:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CN1746;2026-02-17;10:07:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.61776132;-46.59425717;VILA VERMELHA;Rodovia Anchieta;95º D.P. HELIOPOLIS;DEL.SEC.2º SUL;C;N;2.0;2026.0
CN2170;2026-02-17;11:10:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Restaurante e Afins;-23.6247589;-46.6078133;VILA DAS MERCES;Rua Dom Vilares;26º D.P. SACOMA;DEL.SEC.2º SUL;T;S;2.0;2026.0
CN7191;2026-02-17;19:23:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.44212019;-46.70699557;PIRITUBA;Avenida Raimundo Pereira de MagalhAes;74º D.P. PARADA TAIPAS;DEL.SEC.4º NORTE;C;N;2.0;2026.0
CN8866;2026-02-17;17:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5858393;-46.6597641;IBIRAPUERA;Avenida Pedro Alvares Cabral;36º D.P. VILA MARIANA;DEL.SEC.2º SUL;T;N;2.0;2026.0
CN9073;2026-02-18;01:44:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Area não Ocupada;-23.63263659;-46.77478853;CAMPO LIMPO;RUA VITORIO EMANUELE ROSSI;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;C;N;2.0;2026.0
CO1999;2026-02-18;08:01:00;HOMICIDIO DOLOSO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;23º D.P. PERDIZES;DEL.SEC.3º OESTE;C;N;2.0;2026.0
CO4830;2026-02-08;;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);A noite;Via Pública;-23.5909261;-46.3946336;CIDADE TIRADENTES;Rua JosE Francisco BrandAo;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;2.0;2026.0
CP4378;2026-02-18;22:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;91º D.P. CEASA;DEL.SEC.3º OESTE;T;S;2.0;2026.0
CP4597;2026-02-18;23:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;C;N;2.0;2026.0
CQ3159;2026-02-19;11:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.80553241;-46.73651021;PARELHEIROS;RUA UM;25º D.P. PARELHEIROS;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CR0341;2026-02-19;17:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;S;2.0;2026.0
CR0341;2026-02-19;17:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;S;2.0;2026.0
CR7174;2026-02-18;09:11:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.5763272;-46.553283;VILA DIVA (ZONA LESTE);Avenida Luiz Ferreira da Silva;29º D.P. VILA PRUDENTE;DEL.SEC.5º LESTE;C;N;2.0;2026.0
CS1186;2026-02-20;11:25:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.61170531;-46.73502901;VILA SONIA;RUA PROFESSOR JOSE HORACIO MEIRELLES TEIXEIRA;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;C;N;2.0;2026.0
CS2085;2026-02-20;12:55:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5432503;-46.6081989;BRÁS;Rua 21 de Abril;08º D.P. BRAS;DEL.SEC.1º CENTRO;T;N;2.0;2026.0
CS6651;2026-02-20;20:35:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.50920918;-46.6276939;SANTANA;AVENIDA GENERAL PEDRO LEON SCHNEIDER;13º D.P. CASA VERDE;DEL.SEC.4º NORTE;C;S;2.0;2026.0
CS9569;2026-02-21;07:40:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;T;S;2.0;2026.0
CT1139;2026-02-21;04:50:31;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;09º D.P. - CARANDIRU;DEL.SEC.4º NORTE;T;S;2.0;2026.0
CV0064;2026-02-21;23:08:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5365638;-46.4232728;LAJEADO;RUA MIGUEL MARTINS LISBOA;68º D.P. LAGEADO;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CV0183;2026-02-22;00:02:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Terminal/Estação;-23.54502538;-46.63109113;SE;PARQUE DOM PEDRO II;01º D.P. SE;DEL.SEC.1º CENTRO;T;S;2.0;2026.0
CV0404;2026-02-22;01:28:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Saúde;-23.52949583;-46.4799227;ARTUR ALVIM;RUA NICOLO TARTAGLIA;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CV1294;2026-02-22;08:33:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;83º D.P. PARQUE BRISTOL;DEL.SEC.2º SUL;T;N;2.0;2026.0
CV1345;2026-02-22;08:11:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;C;S;2.0;2026.0
CV8322;2026-02-23;04:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.69404293;-46.79061642;CAPAO REDONDO;RUA TOMAS POMPEU;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;S;2.0;2026.0
CV8358;2026-02-23;05:16:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.6684009;-46.7900657;PARQUE FERNANDA;Travessa Pedro de Oliveira Godinho;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CW1485;2026-02-23;04:30:00;HOMICIDIO DOLOSO;FeminicIdio;;Via Pública;-23.4797432;-46.5852747;VILA CONSTANÇA;Avenida Júlio Buono;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;C;S;2.0;2026.0
CX0093;2026-02-22;04:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.49157028;-46.59475863;VILA MEDEIROS;RUA CANDIDO FIGUEIREDO;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;T;N;2.0;2026.0
CX1417;2026-02-23;16:59:00;HOMICIDIO DOLOSO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;S;2.0;2026.0
CX4498;2026-02-23;19:10:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.55229112;-46.40003855;GUAIANASES;RUA CAROLINA BRANT;44º D.P. GUAIANAZES;DEL.SEC.8º SAO MATEUS;T;S;2.0;2026.0
CX5098;2026-02-23;21:13:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;64º D.P. CID.AE CARVALHO;DEL.SEC.7º ITAQUERA;T;S;2.0;2026.0
CX5783;2026-02-24;02:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.6735655;-46.78352795;CAPAO REDONDO;AVENIDA PROFESSOR DOUTOR TELEMACO HIPPOLYTO DE MACEDO VAN LANGENDONC;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;N;2.0;2026.0
CX6431;2026-02-23;;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);Em hora incerta;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;T;N;2.0;2026.0
CY1561;2026-02-24;11:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.66113078;-46.73421364;JD SÃO LUIS;RUA BENTO BARROSO PEREIRA;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;T;N;2.0;2026.0
CY1561;2026-02-24;11:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.66113078;-46.73421364;JD SÃO LUIS;RUA BENTO BARROSO PEREIRA;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
CY7691;2026-02-24;15:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.58437717;-46.38188276;CIDADE TIRADENTES;RUA ESTADO DO ESPIRITO SANTO;44º D.P. GUAIANAZES;DEL.SEC.8º SAO MATEUS;C;N;2.0;2026.0
CY9914;2026-02-24;16:50:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.565044;-46.46245239;PARQUE DO CARMO;RUA IBERE GOMES GROSSO;53º D.P. PARQUE DO CARMO;DEL.SEC.8º SAO MATEUS;T;S;2.0;2026.0
CZ2131;2026-02-24;20:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;C;S;2.0;2026.0
CZ2778;2026-02-24;22:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.64148307;-46.74774737;CAMPO LIMPO;RUA CARLOS LEITE DOS SANTOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;C;N;2.0;2026.0
CZ2778;2026-02-24;22:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.64148307;-46.74774737;CAMPO LIMPO;RUA CARLOS LEITE DOS SANTOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;T;N;2.0;2026.0
CZ2778;2026-02-24;22:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.64148307;-46.74774737;CAMPO LIMPO;RUA CARLOS LEITE DOS SANTOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;T;N;2.0;2026.0
CZ2868;2026-02-24;21:38:00;LESAO CORPORAL SEGUIDA DE MORTE;ComunicaçAo de Obito;;Via Pública;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;59º D.P. JARDIM DOS IPES;DEL.SEC.7º ITAQUERA;C;N;2.0;2026.0
CZ3334;2026-02-25;05:33:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;41º D.P. VILA RICA;DEL.SEC.8º SAO MATEUS;T;N;2.0;2026.0
CZ5656;2026-02-25;09:25:00;HOMICIDIO DOLOSO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;C;S;2.0;2026.0
BR0138;2026-02-02;04:20:00;LESAO CORPORAL SEGUIDA DE MORTE;LesAo corporal (art. 129);;Via Pública;-23.54244232;-46.60670974;BELEM;RUA VINTE UM DE ABRIL;81º D.P. BELEM;DEL.SEC.5º LESTE;C;N;2.0;2026.0
DA6613;2026-02-25;18:22:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;T;S;2.0;2026.0
DB8891;2026-02-26;13:47:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Restaurante e Afins;-23.5631624;-46.58324379;AGUA RASA;RUA TERESINA;57º D.P. PARQUE DA MOOCA;DEL.SEC.5º LESTE;T;N;2.0;2026.0
DC7291;2026-02-26;23:59:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.45619702;-46.66609344;CACHOEIRINHA;RUA JOSE MARIA PEIXOTO;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;T;N;2.0;2026.0
DC9312;2026-02-27;08:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Terminal/Estação;-23.5448163;-46.5934381;BELENZINHO;Avenida AlcAntara Machado;08º D.P. BRAS;DEL.SEC.1º CENTRO;T;S;2.0;2026.0
CY4129;2026-02-24;11:30:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Area não Ocupada;-23.71366386;-46.65708837;PEDREIRA;RUA MARGINAL DOIS;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;C;N;2.0;2026.0
DE3982;2026-02-28;04:40:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;33º D.P. PIRITUBA;DEL.SEC.3º OESTE;T;S;2.0;2026.0
DE4651;2026-02-28;04:49:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;38º D.P. VILA AMALIA;DEL.SEC.4º NORTE;T;S;2.0;2026.0
DE5318;2026-02-28;07:00:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Via Pública;-23.64265942;-46.76668318;CAMPO LIMPO;RUA MONFORTE DE LEMOS;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;T;S;2.0;2026.0
DE9201;2026-02-28;11:24:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5428016;-46.6900026;POMPEIA;Avenida PompEia;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;2.0;2026.0
DE9201;2026-02-28;11:24:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5428016;-46.6900026;POMPEIA;Avenida PompEia;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;2.0;2026.0
BZ2856;2026-02-07;02:19:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.70064047;-46.77991291;JARDIM ANGELA;RUA TACUAREMBO;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;C;S;2.0;2026.0
BS0841;2026-02-02;04:40:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.62337874;-46.66596964;SAÚDE;ALAMEDA DOS GUAINUMBIS;27º DP DR. IGNACIO FRANCISCO;DEL.SEC.2º SUL;C;S;2.0;2026.0
CL8346;2026-02-15;21:55:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.58451661;-46.32781862;JD SÃO LUIZ;RUA REGINA CABALAU MENDONÇA;DEL.POL.SUZANO;DEL.SEC.MOGI DAS CRUZES;T;S;2.0;2026.0
CL8346;2026-02-15;21:55:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.58451661;-46.32781862;JD SÃO LUIZ;RUA REGINA CABALAU MENDONÇA;DEL.POL.SUZANO;DEL.SEC.MOGI DAS CRUZES;T;S;2.0;2026.0
CR2560;2026-02-19;;TENTATIVA DE HOMICIDIO;FeminicIdio;Em hora incerta;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;05º D.P. GUARULHOS;DEL.SEC.GUARULHOS;T;S;2.0;2026.0
DF5494;2026-03-01;04:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.7112235;-46.6190258;ELDORADO;Rua Vinte e Um;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;T;S;3.0;2026.0
DF5678;2026-03-01;06:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;28º D.P. FREGUESIA DO O;DEL.SEC.4º NORTE;T;S;3.0;2026.0
DF6563;2026-03-01;11:02:00;HOMICIDIO DOLOSO;FeminicIdio;;Hospedagem;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;69º D.P. TEOTONIO VILELA;DEL.SEC.8º SAO MATEUS;C;S;3.0;2026.0
DF7728;2026-03-01;14:21:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Centro Comercial/Empresarial;-23.5537999;-46.6295117;LIBERDADE;Rua Oscar Cintra Gordinho;01º D.P. SE;DEL.SEC.1º CENTRO;C;N;3.0;2026.0
DG1824;2026-03-01;21:48:57;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Saúde;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;68º D.P. LAGEADO;DEL.SEC.7º ITAQUERA;T;N;3.0;2026.0
DG1824;2026-03-01;21:48:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;68º D.P. LAGEADO;DEL.SEC.7º ITAQUERA;C;N;3.0;2026.0
DG2040;2026-03-02;03:50:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Terminal/Estação;-23.5201513;-46.7008254;LAPA;Praça Miguel Dell'Erba;07º D.P. LAPA;DEL.SEC.3º OESTE;C;S;3.0;2026.0
DH7390;2026-03-02;20:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Estabelecimento de Ensino;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;T;N;3.0;2026.0
DI2708;2026-03-01;;HOMICIDIO DOLOSO;FeminicIdio;A noite;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;73º D.P. JACANA;DEL.SEC.4º NORTE;C;N;3.0;2026.0
DK2487;2026-03-04;00:15:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.4984669;-46.5883718;JARDIM JAPAO;Avenida ConceiçAo;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;C;S;3.0;2026.0
DK3637;2026-03-04;09:50:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;05º D.P. ACLIMACAO;DEL.SEC.1º CENTRO;T;N;3.0;2026.0
