NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO
AZ4940;2026-01-14;10:00:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0
AZ5646;2026-01-08;09:00:15;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.7062797;-46.7873027;CHÁCARA NANI;Rua Clamecy;100º D.P. JDIM HERCULANO;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0
BA0403;2026-01-21;07:05:08;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.6656254;-46.6772127;VILA CONSTANCIA;Avenida Yervant Kissajikian;43º D.P. CIDADE ADEMAR;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0
BB7907;2026-01-21;23:00:44;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;T;N;1.0;2026.0
BC1562;2026-01-22;16:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.6043702;-46.39895923;CIDADE TIRADENTES;RUA DOS PEDREIROS;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;1.0;2026.0
BC1562;2026-01-22;16:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.6043702;-46.39895923;CIDADE TIRADENTES;RUA DOS PEDREIROS;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;1.0;2026.0
BC4029;2026-01-20;22:00:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;N;1.0;2026.0
BC6547;2026-01-23;13:00:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.45856074;-46.75575618;JARAGUA;ESTRADA TURISTICA DO JARAGUA;46º D.P. PERUS;DEL.SEC.3º OESTE;C;S;1.0;2026.0
BD0049;2026-01-23;16:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.52761003;-46.66088449;BARRA FUNDA;AVENIDA PACAEMBU;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;1.0;2026.0
BD0049;2026-01-23;16:30:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.52761003;-46.66088449;BARRA FUNDA;AVENIDA PACAEMBU;23º D.P. PERDIZES;DEL.SEC.3º OESTE;T;S;1.0;2026.0
