NOME_DELEGACIA,CIDADE,NUM_BO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DATA_COMUNICAO_BO,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,RUBRICA,IDADE_DATA_OCORRENCIA,NOME_PROFISSAO,DATA CADASTRO,HORA CADASTRO,NUMERO LAUDO,DECLARAÇAO OBITO,NOME_DEPARTAMENTO,NOME_SECCIONAL,ANO_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,DESC_PERIODO,DESCR_TIPOLOCAL,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,FLAG_STATUS_CRIME,FLAG_FLAGRANTE,DESCR_CONDUTA,DESDOBRAMENTO,FLAG_DEFICIENCIA,COR_CURTIS,SEXO_PESSOA,IDENTIDADE_GENERO,ORIENTACAO_SEXUAL,MES ESTATISTICA,ANO ESTATISTICA,NATUREZA APURADA,MOTIVAÇAO,CONTEXTO,POSSIVEL MEIO UTILIZADO,RELAÇAO ALCOOLISMO OU DROGAS PELO AUTOR,DETALHAMENTO DO HOMICIDIO DOLOSO ,VIOLENCIA CONTRA MULHER,TIPIFICAÇAO ESPECIFICA,SITUAÇAO,INTERVENÇAO EM OCORRENCIA DE TERCEIRO,PM / PC,NUMERO DO INQUERITO,NUMERO DO CNJ,COD IBGE,ANO LAUDO,UNIDADE,CIA,BTL,CMDO
63º D.P. VILA JACUI,S.PAULO,BD4473,23/01/2026,17:30:00,23/01/2026,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,63º D.P. VILA JACUI,S.PAULO,HomicIdio (art. 121),84,Aposentado(a),-,-,-,-,DECAP,DEL.SEC.7º ITAQUERA,2026,N,NULL,NULL,Favela,DECAP,DEL.SEC.7º ITAQUERA,T,S,II - por motivo fútil ,NULL,N,Branca,M,Ignorado,Ignorado,01. JANEIRO,2026,TENTATIVA DE HOMICIDIO,DESENTENDIMENTO BAR/FESTA/SIMILAR,CONFLITO INTERPESSOAL - BAR/FESTA/SIMILAR,DISPARO ARMA DE FOGO DE MAO,NAO RELATADO,HOMICIDIO DOLOSO OUTROS TENTADO,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3550308,-,-,2ªCIA,2ºBPM/M,CPA/M-4
DEL.SEC.ASSIS PLANTAO,ASSIS,BD5431,23/01/2026,22:05:00,23/01/2026,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,01º D.P. ASSIS,ASSIS,HomicIdio (art. 121),48,NULL,24/01/2026,00:32:46,33463,400179784,DEINTER 8 - PRESIDENTE PRUDENTE,DEL.SEC.ASSIS,2026,N,NULL,NULL,ResidEncia,DEINTER 8 - PRESIDENTE PRUDENTE,DEL.SEC.ASSIS,C,N,NULL,NULL,N,Branca,M,Ignorado,Ignorado,01. JANEIRO,2026,HOMICIDIO DOLOSO,DESENTENDIMENTO - OUTROS,CONFLITO INTERPESSOAL - FAMILIAR/SIMILAR,DISPARO ARMA DE FOGO DE MAO,RELATADO USO DE ALCOOL PELA VITIMA,HOMICIDIO DOLOSO OUTROS,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3504008,2026,EPML ASSIS,1ªCIA,32ºBPM/I,CPI-8
DEL.POL.BARUERI,BARUERI,BD8559,24/01/2026,00:50:00,24/01/2026,CENTRO,AVENIDA GUILHERME PERERECA GUGLIELMO,1000,"-23,50931837","-46,87027855",DEL.POL.BARUERI,BARUERI,HomicIdio (art. 121),20,NULL,-,-,-,-,DEMACRO,DEL.SEC.CARAPICUIBA,2026,N,NULL,NULL,Via Pública,DEMACRO,DEL.SEC.CARAPICUIBA,T,S,NULL,NULL,N,Branca,M,Ignorado,Ignorado,01. JANEIRO,2026,TENTATIVA DE HOMICIDIO,ACIDENTE DE TRABALHO,NAO IDENTIFICADO,IMPACTO DE UM VEICULO A MOTOR,NAO RELATADO,HOMICIDIO DOLOSO OUTROS TENTADO,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3505708,-,-,5ªCIA,20ºBPM/M,CPA/M-8
DEL.POL.PLANTAO ITU,ITU,BE0923,24/01/2026,03:37:19,24/01/2026,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,02º D.P. ITU,ITU,HomicIdio (art. 121),30,NULL,24/01/2026,09:28:26,33743,402776330,DEINTER 7 - SOROCABA,DEL.SEC.SOROCABA,2026,N,NULL,NULL,ResidEncia,DEINTER 7 - SOROCABA,DEL.SEC.SOROCABA,C,N,NULL,NULL,N,Branca,M,Ignorado,Ignorado,01. JANEIRO,2026,HOMICIDIO DOLOSO,NAO IDENTIFICADO,NAO IDENTIFICADO,DISPARO ARMA DE FOGO DE MAO,NAO RELATADO,HOMICIDIO DOLOSO OUTROS,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3523909,2026,NPML SOROCABA,1ªCIA,50ºBPM/I,CPI-7
CPJ SANTOS,SANTOS,BE4167,24/01/2026,05:30:00,24/01/2026,MORRO SAO BENTO,AVENIDA BANDEIRANTES,69,"-23,93528247","-46,33705578",01º D.P. SANTOS,SANTOS,HomicIdio (art. 121),38,NULL,-,-,-,-,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,2026,N,NULL,NULL,Via Pública,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,T,S,"contra autoridade ou agente descrito nos arts. 142 e 144 da ConstituiçAo Federal, integrantes do sistema prisional e da Força Nacional de Segurança Pública, no exercIcio da funçAo ou em decorrEncia dela, ou contra seu cOnjuge, companheiro ou parente consanguIneo atE terceiro grau, em razAo dessa condiçAo",NULL,N,Preta,M,Ignorado,Ignorado,01. JANEIRO,2026,TENTATIVA DE HOMICIDIO,PATRIMONIAL,NAO IDENTIFICADO,OUTROS MEIOS NAO ESPECIFICADOS,NAO RELATADO,NULL,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3548500,-,-,3ªCIA,6ºBPM/I,CPI-6
CPJ SANTOS,SANTOS,BE4167,24/01/2026,05:30:00,24/01/2026,MORRO SAO BENTO,AVENIDA BANDEIRANTES,69,"-23,93528247","-46,33705578",01º D.P. SANTOS,SANTOS,HomicIdio (art. 121),58,NULL,-,-,-,-,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,2026,N,NULL,NULL,Via Pública,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,T,S,"contra autoridade ou agente descrito nos arts. 142 e 144 da ConstituiçAo Federal, integrantes do sistema prisional e da Força Nacional de Segurança Pública, no exercIcio da funçAo ou em decorrEncia dela, ou contra seu cOnjuge, companheiro ou parente consanguIneo atE terceiro grau, em razAo dessa condiçAo",NULL,N,Parda,M,Ignorado,Ignorado,01. JANEIRO,2026,TENTATIVA DE HOMICIDIO,PATRIMONIAL,NAO IDENTIFICADO,OUTROS MEIOS NAO ESPECIFICADOS,NAO RELATADO,NULL,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3548500,-,-,3ªCIA,6ºBPM/I,CPI-6
CPJ SANTOS,SANTOS,BE4167,24/01/2026,05:30:00,24/01/2026,MORRO SAO BENTO,AVENIDA BANDEIRANTES,69,"-23,93528247","-46,33705578",01º D.P. SANTOS,SANTOS,HomicIdio (art. 121),59,NULL,-,-,-,-,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,2026,N,NULL,NULL,Via Pública,DEINTER 6 - SANTOS,DEL.SEC.SANTOS,T,S,"contra autoridade ou agente descrito nos arts. 142 e 144 da ConstituiçAo Federal, integrantes do sistema prisional e da Força Nacional de Segurança Pública, no exercIcio da funçAo ou em decorrEncia dela, ou contra seu cOnjuge, companheiro ou parente consanguIneo atE terceiro grau, em razAo dessa condiçAo",NULL,N,Branca,F,Ignorado,Ignorado,01. JANEIRO,2026,TENTATIVA DE HOMICIDIO,PATRIMONIAL,NAO IDENTIFICADO,OUTROS MEIOS NAO ESPECIFICADOS,NAO RELATADO,NULL,SIM,TENTATIVA DE HOMICIDIO,NULL,NULL,NULL,NULL,NULL,3548500,-,-,3ªCIA,6ºBPM/I,CPI-6
DEL.POL.TEODORO SAMPAIO,TEODORO SAMPAIO,BE4254,24/01/2026,NULL,24/01/2026,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,VEDAÇAO DA DIVULGAÇAO DOS DADOS,DEL.POL.TEODORO SAMPAIO,TEODORO SAMPAIO,HomicIdio (art. 121),56,NULL,24/01/2026,15:24:01,34075,401375650,DEINTER 8 - PRESIDENTE PRUDENTE,DEL.SEC.PRESIDENTE VENCESLAU,2026,N,NULL,Pela manhA,ResidEncia,DEINTER 8 - PRESIDENTE PRUDENTE,DEL.SEC.PRESIDENTE VENCESLAU,C,S,NULL,NULL,N,Parda,M,Ignorado,Ignorado,01. JANEIRO,2026,HOMICIDIO DOLOSO,VIOLENCIA DOMESTICA,CONFLITO INTERPESSOAL - RELAÇAO AFETIVA,OBJETO CORTANTE OU PENETRANTE,RELATADO USO DE DROGAS PELA VITIMA,HOMICIDIO DOLOSO OUTROS,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3554300,2026,EPML PRESIDENTE VENCESLAU,3ªCIA,42ºBPM/I,CPI-8
89º D.P. JARDIM TABOAO,S.PAULO,BE6508,24/01/2026,07:45:00,24/01/2026,JARDIM BOA VISTA (ZONA OESTE),Rua AntOnio JosE Dias,48,"-23,5790126","-46,7915343",75º D.P. JARDIM ARPOADOR,S.PAULO,HomicIdio (art. 121),26,NULL,24/01/2026,20:56:37,34209,401647846,DECAP,DEL.SEC.3º OESTE,2026,N,NULL,NULL,Via Pública,DECAP,DEL.SEC.3º OESTE,C,N,"IV - A traiçAo, de emboscada, ou mediante dissimulaçAo ou outro recurso que dificulte ou torne impossIvel a defesa do ofendido ",NULL,N,Parda,M,Ignorado,Ignorado,01. JANEIRO,2026,HOMICIDIO DOLOSO,DESENTENDIMENTO BAR/FESTA/SIMILAR,CONFLITO INTERPESSOAL - BAR/FESTA/SIMILAR,DISPARO ARMA DE FOGO DE MAO,NAO RELATADO,HOMICIDIO DOLOSO OUTROS,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3550308,2026,EPML SUL,4ªCIA,16ºBPM/M,CPA/M-5
89º D.P. JARDIM TABOAO,S.PAULO,BE6508,24/01/2026,07:45:00,24/01/2026,JARDIM BOA VISTA (ZONA OESTE),Rua AntOnio JosE Dias,48,"-23,5790126","-46,7915343",75º D.P. JARDIM ARPOADOR,S.PAULO,HomicIdio (art. 121),36,NULL,24/01/2026,20:56:37,34209,401647846,DECAP,DEL.SEC.3º OESTE,2026,N,NULL,NULL,Via Pública,DECAP,DEL.SEC.3º OESTE,C,N,"IV - A traiçAo, de emboscada, ou mediante dissimulaçAo ou outro recurso que dificulte ou torne impossIvel a defesa do ofendido ",NULL,N,Parda,M,Ignorado,Ignorado,01. JANEIRO,2026,HOMICIDIO DOLOSO,VINGANÇA,CONFLITO INTERPESSOAL - CONHECIDOS,FORÇA CORPORAL,NAO RELATADO,HOMICIDIO DOLOSO OUTROS,NAO,NAO SE APLICA,NULL,NULL,NULL,NULL,NULL,3550308,2026,EPML SUL,4ªCIA,16ºBPM/M,CPA/M-5
